,pick,round,player_key,team_key
0,1,1,422.p.9877,422.l.24865.t.1
1,2,1,422.p.10646,422.l.24865.t.10
2,3,1,422.p.10056,422.l.24865.t.11
3,4,1,422.p.9507,422.l.24865.t.6
4,5,1,422.p.10621,422.l.24865.t.4
5,6,1,422.p.10480,422.l.24865.t.8
6,7,1,422.p.9552,422.l.24865.t.2
7,8,1,422.p.10626,422.l.24865.t.5
8,9,1,422.p.10883,422.l.24865.t.9
9,10,1,422.p.8658,422.l.24865.t.12
10,11,1,422.p.10766,422.l.24865.t.7
11,12,1,422.p.9701,422.l.24865.t.3
12,13,2,422.p.8861,422.l.24865.t.1
13,14,2,422.p.1000001,422.l.24865.t.10
14,15,2,422.p.9121,422.l.24865.t.11
15,16,2,422.p.9111,422.l.24865.t.6
16,17,2,422.p.8193,422.l.24865.t.4
17,18,2,422.p.10918,422.l.24865.t.8
18,19,2,422.p.10235,422.l.24865.t.2
19,20,2,422.p.9882,422.l.24865.t.5
20,21,2,422.p.10730,422.l.24865.t.9
21,22,2,422.p.8967,422.l.24865.t.12
22,23,2,422.p.8996,422.l.24865.t.7
23,24,2,422.p.10639,422.l.24865.t.3
24,25,3,422.p.10867,422.l.24865.t.1
25,26,3,422.p.1000002,422.l.24865.t.10
26,27,3,422.p.9605,422.l.24865.t.11
27,28,3,422.p.9116,422.l.24865.t.6
28,29,3,422.p.9105,422.l.24865.t.4
29,30,3,422.p.11628,422.l.24865.t.8
30,31,3,422.p.9517,422.l.24865.t.2
31,32,3,422.p.10765,422.l.24865.t.5
32,33,3,422.p.9584,422.l.24865.t.9
33,34,3,422.p.9718,422.l.24865.t.12
34,35,3,422.p.11104,422.l.24865.t.7
35,36,3,422.p.10642,422.l.24865.t.1
36,37,4,422.p.9334,422.l.24865.t.1
37,38,4,422.p.10237,422.l.24865.t.10
38,39,4,422.p.9095,422.l.24865.t.11
39,40,4,422.p.9585,422.l.24865.t.6
40,41,4,422.p.9319,422.l.24865.t.4
41,42,4,422.p.9124,422.l.24865.t.8
42,43,4,422.p.10131,422.l.24865.t.2
43,44,4,422.p.10514,422.l.24865.t.5
44,45,4,422.p.10183,422.l.24865.t.9
45,46,4,422.p.11127,422.l.24865.t.12
46,47,4,422.p.9902,422.l.24865.t.7
47,48,4,422.p.9118,422.l.24865.t.3
48,49,5,422.p.9620,422.l.24865.t.1
49,50,5,422.p.9339,422.l.24865.t.10
50,51,5,422.p.10166,422.l.24865.t.11
51,52,5,422.p.11854,422.l.24865.t.6
52,53,5,422.p.9015,422.l.24865.t.4
53,54,5,422.p.11596,422.l.24865.t.8
54,55,5,422.p.10366,422.l.24865.t.2
55,56,5,422.p.12346,422.l.24865.t.5
56,57,5,422.p.9540,422.l.24865.t.9
57,58,5,422.p.10847,422.l.24865.t.12
58,59,5,422.p.9897,422.l.24865.t.7
59,60,5,422.p.10439,422.l.24865.t.3
60,61,6,422.p.10556,422.l.24865.t.1
61,62,6,422.p.11265,422.l.24865.t.10
62,63,6,422.p.11536,422.l.24865.t.11
63,64,6,422.p.10234,422.l.24865.t.6
64,65,6,422.p.10148,422.l.24865.t.4
65,66,6,422.p.9590,422.l.24865.t.8
66,67,6,422.p.8180,422.l.24865.t.2
67,68,6,422.p.9320,422.l.24865.t.5
68,69,6,422.p.9558,422.l.24865.t.9
69,70,6,422.p.8758,422.l.24865.t.12
70,71,6,422.p.11381,422.l.24865.t.7
71,72,6,422.p.11138,422.l.24865.t.3
72,73,7,422.p.10496,422.l.24865.t.1
73,74,7,422.p.11014,422.l.24865.t.10
74,75,7,422.p.9573,422.l.24865.t.11
75,76,7,422.p.8634,422.l.24865.t.6
76,77,7,422.p.10298,422.l.24865.t.4
77,78,7,422.p.11750,422.l.24865.t.8
78,79,7,422.p.10566,422.l.24865.t.2
79,80,7,422.p.9108,422.l.24865.t.5
80,81,7,422.p.11853,422.l.24865.t.9
81,82,7,422.p.10185,422.l.24865.t.12
82,83,7,422.p.10440,422.l.24865.t.7
83,84,7,422.p.8875,422.l.24865.t.3
84,85,8,422.p.9606,422.l.24865.t.1
85,86,8,422.p.12588,422.l.24865.t.10
86,87,8,422.p.11116,422.l.24865.t.11
87,88,8,422.p.8270,422.l.24865.t.6
88,89,8,422.p.8780,422.l.24865.t.4
