"Name","Team","Age","playerid"
"Xavier Cedeno","Cubs","32","36"
"Tommy Hunter","Phillies","32","1157"
"Matt Moore","Tigers","30","1890"
"Charlie Culberson","Braves","30","3298"
"Russell Martin","Dodgers","36","4616"
"Pablo Sandoval","Giants","32","5409"
"Jesus Sucre","Orioles","31","5942"
"Ian Kinsler","Padres","37","6195"
"Dellin Betances","Yankees","31","6216"
"Sean Rodriguez","Phillies","34","6589"
"JB Shuck","Pirates","32","6677"
"Ian Desmond","Rockies","33","6885"
"Caleb Joseph","Diamondbacks","33","7087"
"Ben Zobrist","Cubs","38","7435"
"Max Stassi","Astros","28","10059"
"Aaron Loup","Padres","31","10343"
"Jedd Gyorko","Cardinals","30","10816"
"Ryan O'Rourke","Mets","31","10976"
"Bryan Holaday","Marlins","31","11287"
"Taijuan Walker","Diamondbacks","26","11836"
"Nick Martini","Athletics","29","12005"
"Nathan Karns","Orioles","31","12638"
"Taylor Davis","Cubs","29","12782"
"Danny Hultzen","Cubs","29","12874"
"Luke Maile","Blue Jays","28","13355"
"Jose Peraza","Reds","25","13593"
"Jacob Stallings","Pirates","29","13723"
"Kevin Plawecki","Indians","28","13807"
"Jose Rondon","White Sox","25","14140"
"Daniel Robertson","Rays","25","14145"
"Matt Ramsey","Angels","29","14460"
"Kyle Farmer","Reds","28","14813"
"Cole Sulser","Rays","29","15256"
"Donnie Hart","- - -","28","15306"
"Chris Ellis","Royals","26","16125"
"A.J. Reed","White Sox","26","16246"
"Jose Castillo","Padres","23","17169"
"Art Warren","Mariners","26","18251"
"Jorge Alcala","Twins","23","19459"
"Michael King","Yankees","24","19853"
"Brent Suter","Brewers","29","13942"
"Tyler Rogers","Giants","28","15541"
"Bryan Abreu","Astros","22","16609"
"Keynan Middleton","Angels","25","15264"
"Kirby Yates","Padres","32","9073"
"Sean Manaea","Athletics","27","15873"
"Ben Heller","Yankees","27","15100"
"Jacob Webb","Braves","25","19274"
"Cody Reed","Reds","26","15232"
"Hunter Harvey","Orioles","24","15507"
"Kevin Ginkel","Diamondbacks","25","19876"
"Luis Severino","Yankees","25","15890"
"Jesus Luzardo","Athletics","21","19959"
"Will Harris","Astros","34","3192"
"Matt Shoemaker","Blue Jays","32","4776"
"Randy Dobnak","Twins","24","23798"
"Felipe Vazquez","Pirates","27","12076"
"Pedro Avila","Padres","22","18864"
"James Karinchak","Indians","23","20151"
"Darren O'Day","Braves","36","3321"
"James Pazos","Rockies","28","13323"
"Tyler Glasnow","Rays","25","14374"
