"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","663","521","163","30","3","36","114","106","135","101","3","10","5","",".313",".454",".590","1.044",".438","174","","7.6","","4.2","","2.55","0.32","0.99","20123"
"Fernando Tatis Jr.","SDP","142","615","539","155","30","3","44","113","106","66","162","6","27","7","",".287",".368",".597",".965",".402","155","","6.7","","1.8","","5.30","-1.52","0.58","19709"
"Mike Trout","LAA","134","577","467","131","24","3","37","97","94","95","136","10","7","2","",".281",".410",".581",".991",".412","164","","6.2","","13.8","","3.66","-0.24","0.71","10155"
"José Ramírez","CLE","148","633","551","149","35","4","35","101","100","71","91","6","25","6","",".271",".358",".540",".899",".377","141","","6.0","","3.7","","3.03","0.14","0.81","13510"
"Mookie Betts","LAD","146","658","566","159","34","3","31","113","87","79","100","8","14","5","",".281",".374",".516",".890",".377","139","","5.9","","15.4","","2.80","1.00","0.69","13611"
"Ronald Acuña Jr.","ATL","133","586","497","140","27","2","37","108","84","75","147","10","23","7","",".281",".383",".565",".948",".399","148","","5.6","","10.7","","4.71","0.22","0.71","18401"
"Vladimir Guerrero Jr.","TOR","152","650","568","174","32","2","41","107","109","74","101","6","3","2","",".306",".390",".587",".976",".410","159","","5.6","","5.8","","4.78","0.22","1.43","19611"
"Trea Turner","LAD","147","651","595","181","34","5","26","110","86","47","111","5","32","7","",".304",".358",".506",".864",".368","132","","5.6","","1.6","","3.75","0.60","1.46","16252"
"Aaron Judge","NYY","145","627","542","150","25","1","39","97","97","77","166","5","5","2","",".276",".370",".539",".909",".382","142","","5.4","","36.6","","2.89","-2.16","0.94","15640"
"Bryce Harper","PHI","150","645","527","146","32","2","37","104","102","106","145","6","14","4","",".278",".401",".559",".960",".401","151","","5.3","","9.2","","3.39","0.85","0.48","11579"
