Name,OttoneuID,"FG MajorLeagueID","FG MinorLeagueID","MLB Org",Position(s),"Avg Salary","Median Salary","Min Salary","Max Salary","Last 10",Roster%
"Mike Trout",6305,10155,sa500736,LAA,OF,$69.75,$69.00,$45,$101,$65.00,48.955
"Mookie Betts",18276,13611,sa597889,LAD,2B/OF,$56.83,$57.00,$39,$88,$50.10,50.149
"Juan Soto",23717,20123,sa906282,WSN,OF,$54.70,$55.00,$9,$85,$57.40,91.94
"Bryce Harper",14982,11579,sa548033,PHI,OF,$54.18,$54.00,$37,$77,$53.90,88.358
"Ronald Acuña Jr.",23327,18401,sa877503,ATL,OF,$51.74,$52.00,$10,$76,$49.00,86.567
"Jacob DeGrom",14294,10954,sa548447,NYM,SP,$51.24,$51.00,$33,$75,$57.10,71.94
"Freddie Freeman",5680,5361,sa390291,FA,1B,$49.16,$50.00,$27,$69,$46.20,64.478
"Gerrit Cole",18116,13125,sa454389,NYY,SP,$47.24,$47.00,$28,$68,$47.70,83.582
"Fernando Tatis Jr.",23682,19709,sa919910,SDP,SS/OF,$44.90,$44.00,$12,$83,$52.80,94.03
"Trea Turner",18368,16252,sa599179,LAD,2B/SS,$44.45,$44.00,$19,$69,$42.90,91.642
"Max Scherzer",4514,3137,sa326473,NYM,SP,$42.24,$41.00,$25,$73,$41.30,77.015
"José  Ramírez",18284,13510,sa598784,CLE,3B,$41.90,$42.00,$15,$64,$43.50,91.94
"Christian Yelich",14893,11477,sa548190,MIL,OF,$40.63,$42.00,$19,$61,$30.50,13.731
"Vladimir Guerrero Jr.",18549,19611,sa920245,TOR,1B,$39.74,$40.00,$9,$73,$57.50,96.119
"Aaron Judge",18312,15640,sa549847,NYY,OF,$39.67,$40.00,$13,$59,$35.60,89.851
"Manny Machado",14934,11493,sa548155,SDP,3B,$39.62,$39.00,$23,$63,$38.80,58.209
"Edwin Encarnacion",4069,2151,sa199220,FA,Util,$39.00,$39.00,$39,$39,$1.10,0.299
"Alex Bregman",18480,17678,sa659419,HOU,3B,$38.13,$39.00,$9,$55,$36.70,37.612
"Shohei Ohtani",33600,19755,,LAA,Util/SP,$38.11,$38.00,$8,$71,$50.00,96.716
"Francisco Lindor",18122,12916,sa597754,NYM,SS,$37.17,$38.00,$10,$61,$32.50,39.104
"Xander Bogaerts",13117,12161,sa550735,BOS,SS,$35.65,$36.00,$20,$48,$34.40,82.09
"Walker Buehler",18504,19374,sa658292,LAD,SP,$35.64,$36.00,$11,$60,$39.00,88.358
"Yoenis Cespedes",18142,13110,sa631663,FA,Util,$35.00,$35.00,$35,$35,$1.70,0.299
"George Springer",18124,12856,sa526414,TOR,OF,$34.94,$35.00,$14,$50,$30.60,71.94
"Cody Bellinger",19328,15998,sa737794,LAD,OF,$34.74,$35.00,$16,$56,$29.10,24.478
"Nolan Arenado",12379,9777,sa500816,STL,3B,$34.03,$33.00,$15,$63,$29.30,49.552
"Trevor Story",18153,12564,sa597765,FA,SS,$33.62,$34.00,$18,$51,$27.60,42.687
"Corey Seager",18216,13624,sa657913,TEX,SS,$32.59,$33.00,$16,$57,$28.10,81.194
"Shane Bieber",23814,19427,sa873698,CLE,SP,$32.45,$31.00,$9,$62,$37.40,82.985
"Rafael Devers",18344,17350,sa828312,BOS,3B,$32.33,$33.00,$11,$55,$33.20,95.522
"Giancarlo Stanton",5201,4949,sa390316,NYY,OF,$31.45,$31.00,$15,$56,$33.60,64.478
"Clayton Kershaw",2925,2036,sa326468,FA,SP,$30.33,$30.00,$13,$64,$23.00,18.209
"Aaron Nola",18357,16149,sa599230,PHI,SP,$30.26,$30.00,$13,$46,$28.20,72.836
"Daniel Murphy",17636,4316,sa327744,FA,Util,$30.00,$30.00,$30,$30,$6.50,0.299
"J.D. Martinez",5903,6184,sa502044,BOS,OF,$28.52,$28.00,$17,$51,$26.60,71.045
"Carlos Correa",18160,14162,sa657850,FA,SS,$28.23,$28.00,$9,$56,$27.40,84.478
"Bo Bichette",23767,19612,sa917949,TOR,SS,$26.96,$27.00,$7,$47,$31.90,95.821
"Anthony Rendon",18120,12861,sa455515,LAA,3B,$26.71,$26.00,$12,$45,$24.30,39.701
"Ozzie Albies",18397,16556,sa830219,ATL,2B,$26.64,$26.00,$11,$42,$23.60,90.746
"Yordan Alvarez",23795,19556,sa943524,HOU,OF,$26.07,$26.00,$7,$47,$31.40,96.119
"Kris Bryant",18256,15429,sa549381,FA,1B/3B/OF,$25.62,$25.00,$11,$58,$26.80,70.448
"Pete Alonso",23859,19251,sa873981,NYM,1B,$25.50,$25.00,$7,$49,$31.10,94.627
"Jose Altuve",5918,5417,sa455591,HOU,2B,$25.02,$25.00,$9,$43,$25.10,88.358
"Paul Goldschmidt",4374,9218,sa501577,STL,1B,$24.73,$24.00,$10,$54,$19.60,82.687
"Jose Abreu",18286,15676,,CHW,1B,$24.18,$23.00,$6,$72,$17.90,62.388
"Blake Snell",18460,13543,sa597786,SDP,SP,$24.10,$23.00,$13,$48,$23.80,53.134
"Eloy Jimenez",21751,17484,sa830373,CHW,OF,$23.88,$24.00,$8,$43,$22.80,89.254
"Nick Castellanos",14914,11737,sa548164,FA,OF,$23.75,$24.00,$10,$40,$26.80,94.328
"Jeff Samardzija",1653,3254,sa326740,FA,RP,$23.00,$23.00,$23,$23,$1.60,0.299
"Yu Darvish",15556,13074,sa379610,SDP,SP,$22.92,$22.00,$9,$48,$20.20,54.627
"Jack Flaherty",20920,17479,sa828681,STL,SP,$22.51,$22.00,$9,$51,$23.60,75.821
"J.T. Realmuto",14864,11739,sa548255,PHI,C/1B,$22.46,$21.00,$12,$48,$19.60,70.448
"Kyle Tucker",18546,18345,sa874240,HOU,OF,$22.20,$21.00,$7,$50,$30.10,97.015
"Brandon Woodruff",23693,16162,sa597893,MIL,SP,$22.05,$21.00,$6,$45,$34.90,96.716
"Starling Marte",5025,9241,sa503030,NYM,OF,$22.04,$21.00,$5,$44,$15.90,84.478
"Adrian Beltre",15217,639,sa8183,FA,Util,$22.00,$22.00,$22,$22,$4.70,0.299
"Danny Salazar",5948,5867,sa456364,"CLE AAA",RP,$22.00,$22.00,$22,$22,$1.80,0.299
"Corbin Burnes",23813,19361,sa873673,MIL,SP,$21.91,$21.50,$4,$56,$39.60,97.313
"Trevor Bauer",18112,12703,sa597749,LAD,SP,$21.88,$20.00,$5,$49,$14.20,22.985
"Javier Baez",18123,12979,sa597757,DET,2B/SS,$21.74,$20.50,$6,$47,$16.70,62.687
"Zack Greinke",15274,1943,sa202781,FA,SP,$21.55,$22.00,$8,$38,$9.00,11.343
"Anthony Rizzo",4559,3473,sa390610,FA,1B,$21.55,$21.00,$8,$58,$16.60,20
"Matt Olson",18386,14344,sa657863,OAK,1B,$21.53,$22.00,$5,$41,$26.10,96.119
"Lucas Giolito",18195,15474,sa657908,CHW,SP,$21.36,$21.00,$7,$45,$23.10,84.776
"Adam Jones",1017,6368,sa244375,FA,OF,$21.00,$21.00,$21,$21,$2.60,0.299
"Dexter Fowler",2306,4062,sa268667,FA,OF,$21.00,$21.00,$21,$21,$1.50,0.299
"Brian Dozier",5782,9810,sa501587,FA,Util,$21.00,$21.00,$21,$21,$2.40,0.299
"Jose Berrios",18201,14168,sa657852,TOR,SP,$20.99,$21.00,$11,$38,$17.30,90.448
"Luis Robert",23780,20043,sa3003396,CHW,OF,$20.90,$20.00,$5,$45,$30.50,96.418
"Luis Castillo",23732,15689,sa657487,CIN,SP,$20.67,$20.00,$9,$43,$21.20,76.716
"Aroldis Chapman",5644,10233,sa523977,NYY,RP,$20.56,$21.00,$5,$34,$15.10,47.761
"Whit Merrifield",14694,11281,sa526882,KCR,2B/OF,$20.30,$20.00,$8,$40,$14.00,65.672
"Zack Wheeler",15962,10310,sa500722,PHI,SP,$20.17,$20.00,$9,$41,$26.90,96.418
"Gleyber Torres",18487,16997,sa830372,NYY,2B/SS,$20.04,$19.00,$9,$38,$16.70,33.433
"Ketel Marte",18466,13613,sa597026,ARI,2B/OF,$20.01,$19.00,$6,$48,$24.50,92.836
"Eric Thames",5119,3711,sa454785,OAK,Util,$20.00,$20.00,$20,$20,$2.30,0.299
"Yoan Moncada",18425,17232,sa864590,CHW,3B,$19.49,$19.00,$6,$32,$16.00,54.328
"Michael Conforto",18365,16376,sa709038,FA,OF,$19.32,$19.00,$8,$30,$18.20,32.836
"Wander Samuel Franco",23848,23667,sa3007033,TBR,SS/3B,$19.28,$19.00,$5,$45,$25.90,97.015
"Joey Gallo",18188,14128,sa657856,NYY,OF,$19.24,$19.00,$9,$39,$21.50,76.119
