"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Gerrit Cole","NYY","32","32","199.0","16","8","0","0","154","68","25","267","52","1.04","12.09","2.34","3.06","2.97","","5.8","5.8","","7.6","13125"
"Jacob deGrom","NYM","26","26","153.0","11","5","0","0","105","41","15","218","34","0.91","12.84","2.01","2.42","2.32","","5.6","5.4","","24.4","10954"
"Zack Wheeler","PHI","32","32","207.0","14","9","0","0","185","79","22","214","51","1.14","9.32","2.21","3.43","3.36","","5.1","4.9","","24.9","10310"
"Corbin Burnes","MIL","29","29","175.0","12","7","0","0","135","58","17","225","53","1.08","11.60","2.72","3.01","2.91","","5.0","5.2","","11.9","19361"
"Shane Bieber","CLE","31","31","189.0","13","8","0","0","160","68","23","237","49","1.10","11.25","2.33","3.24","3.14","","4.8","5.1","","31.5","19427"
"Max Scherzer","NYM","31","31","188.0","13","8","0","0","146","68","27","247","47","1.03","11.87","2.27","3.24","3.27","","4.5","4.4","","19.6","3137"
"Brandon Woodruff","MIL","31","31","183.0","12","8","0","0","155","69","22","211","49","1.12","10.36","2.42","3.40","3.35","","4.2","4.4","","20.3","16162"
"Aaron Nola","PHI","32","32","191.0","12","9","0","0","166","78","27","217","54","1.15","10.26","2.54","3.68","3.67","","4.1","3.9","","41.5","16149"
"Logan Webb","SFG","32","32","184.0","12","8","0","0","170","69","15","183","53","1.21","8.94","2.58","3.36","3.26","","4.0","4.0","","65.2","17995"
"Lucas Giolito","CHW","31","31","181.0","13","9","0","0","150","74","27","215","58","1.15","10.69","2.89","3.69","3.75","","3.9","3.8","","45.2","15474"
"Eduardo Rodriguez","DET","32","32","183.0","12","11","0","0","169","74","21","193","58","1.24","9.49","2.86","3.66","3.62","","3.9","4.0","","159.1","13164"
"Walker Buehler","LAD","32","32","196.0","13","8","0","0","173","80","27","207","52","1.15","9.48","2.40","3.68","3.74","","3.8","3.6","","17.5","19374"
"Nathan Eovaldi","BOS","31","31","179.0","12","8","0","0","173","76","23","186","43","1.20","9.35","2.15","3.84","3.57","","3.8","3.9","","140.8","9132"
"Robbie Ray","SEA","32","32","193.0","12","10","0","0","151","77","30","253","66","1.12","11.78","3.05","3.57","3.69","","3.7","4.0","","50.9","11486"
"Luis Castillo","CIN","32","32","192.0","14","10","0","0","175","82","22","202","71","1.29","9.49","3.35","3.84","3.82","","3.7","3.9","","91.7","15689"
"Sandy Alcantara","MIA","32","32","200.0","12","10","0","0","180","81","21","195","60","1.21","8.78","2.72","3.65","3.64","","3.5","3.6","","43.3","18684"
"Justin Verlander","","29","29","180.0","14","8","0","0","145","70","31","220","40","1.03","10.99","2.01","3.51","3.73","","3.4","4.1","","104.9","8700"
"Kevin Gausman","TOR","32","32","187.0","13","9","0","0","168","78","26","202","49","1.16","9.73","2.37","3.77","3.73","","3.4","4.1","","71.0","14107"
"Max Fried","ATL","31","31","183.0","14","9","0","0","170","72","20","174","50","1.20","8.59","2.44","3.56","3.62","","3.4","4.0","","73.9","13743"
"Chris Sale","BOS","28","28","149.0","11","7","0","0","128","59","18","185","42","1.14","11.20","2.56","3.56","3.36","","3.3","3.6","","57.6","10603"
"Charlie Morton","ATL","29","29","165.0","12","7","0","0","142","65","18","184","54","1.19","10.04","2.95","3.57","3.58","","3.2","3.7","","96.8","4676"
"José Berríos","TOR","32","32","196.0","13","9","0","0","180","85","27","202","53","1.19","9.26","2.44","3.90","3.93","","3.2","4.0","","79.4","14168"
"Frankie Montas","OAK","31","31","177.0","12","10","0","0","158","71","23","190","53","1.20","9.67","2.71","3.62","3.70","","3.2","3.5","","93.0","14309"
"Germán Márquez","COL","32","32","191.0","12","11","0","0","198","96","27","185","62","1.36","8.70","2.90","4.53","4.10","","3.2","3.1","","260.3","15038"
"Lance Lynn","CHW","31","31","182.0","12","10","0","0","166","81","28","194","59","1.24","9.60","2.91","3.99","4.11","","3.1","3.1","","67.6","2520"
"Dylan Cease","CHW","31","31","163.0","11","9","0","0","137","72","22","200","71","1.28","11.06","3.91","3.96","3.95","","3.1","2.9","","85.0","18525"
"Shohei Ohtani","LAA","28","28","156.0","9","7","0","0","131","63","19","183","56","1.20","10.55","3.25","3.67","3.70","","3.1","3.3","","8.6","19755"
"Joe Musgrove","SDP","31","31","179.0","12","9","0","0","159","74","24","191","51","1.17","9.58","2.56","3.72","3.82","","3.1","3.1","","78.0","12970"
"Sean Manaea","OAK","31","31","175.0","12","10","0","0","164","71","24","176","41","1.17","9.01","2.12","3.67","3.78","","3.0","3.4","","148.0","15873"
"Carlos Rodón","","28","28","150.0","11","8","0","0","125","63","21","186","53","1.18","11.14","3.16","3.75","3.74","","3.0","3.0","","128.8","16137"
"Clayton Kershaw","","26","26","148.0","11","7","0","0","133","58","22","158","33","1.12","9.62","2.00","3.55","3.67","","3.0","3.3","","171.7","2036"
"Framber Valdez","HOU","31","31","188.0","13","10","0","0","175","79","18","176","79","1.35","8.41","3.76","3.79","3.96","","2.9","3.5","","146.1","17295"
"Noah Syndergaard","LAA","28","28","161.0","9","8","0","0","164","76","23","143","42","1.28","7.98","2.34","4.24","4.13","","2.8","2.2","","209.2","11762"
"Jordan Montgomery","NYY","29","29","158.0","9","7","0","0","150","70","23","162","47","1.25","9.21","2.70","3.97","3.97","","2.8","2.7","","214.2","16511"
"Nick Martínez","","23","23","136.0","9","6","0","0","123","57","14","134","46","1.25","8.86","3.07","3.79","3.61","","2.7","2.2","","496.5","12730"
"Julio Urías","LAD","32","32","159.0","11","8","0","0","146","68","23","161","41","1.17","9.08","2.30","3.82","3.93","","2.7","2.7","","37.9","14765"
"Marcus Stroman","CHC","32","32","184.0","12","11","0","0","187","82","22","152","53","1.31","7.42","2.61","4.01","4.06","","2.7","3.0","","184.3","13431"
"Freddy Peralta","MIL","29","29","140.0","9","7","0","0","110","61","20","180","59","1.21","11.60","3.83","3.90","3.90","","2.7","2.5","","56.7","18679"
"Tyler Mahle","CIN","31","31","169.0","10","9","0","0","159","81","27","184","61","1.31","9.82","3.27","4.35","4.27","","2.7","2.5","","131.1","16358"
"Yu Darvish","SDP","29","29","165.0","10","9","0","0","146","73","25","185","50","1.18","10.06","2.70","3.98","3.94","","2.7","2.4","","101.2","13074"
"Hyun Jin Ryu","TOR","31","31","175.0","13","9","0","0","174","76","24","150","39","1.22","7.71","1.99","3.90","3.98","","2.7","3.6","","203.8","14444"
"Trevor Rogers","MIA","28","28","146.0","10","8","0","0","126","58","17","166","52","1.21","10.19","3.17","3.54","3.59","","2.7","2.8","","96.4","22286"
"Pablo López","MIA","29","29","155.0","10","9","0","0","143","64","18","154","41","1.19","8.98","2.40","3.71","3.71","","2.7","2.6","","138.7","17085"
"Mike Clevinger","SDP","24","24","141.0","10","7","0","0","120","56","18","155","47","1.19","9.88","3.01","3.60","3.73","","2.6","2.7","","187.6","12808"
"Lance McCullers Jr.","HOU","26","26","146.0","10","7","0","0","125","59","15","161","62","1.28","9.90","3.82","3.63","3.73","","2.6","3.0","","171.5","14120"
"Blake Snell","SDP","29","29","151.0","10","8","0","0","123","62","20","185","67","1.26","11.08","3.97","3.73","3.79","","2.6","2.7","","115.6","13543"
"Chris Bassitt","OAK","31","31","179.0","10","9","0","0","163","77","22","168","52","1.20","8.48","2.60","3.86","3.97","","2.6","3.1","","138.9","12304"
"Stephen Strasburg","WSN","26","26","151.0","10","9","0","0","141","69","21","156","51","1.27","9.28","3.01","4.09","4.03","","2.6","2.5","","291.2","10131"
"Sonny Gray","CIN","29","29","157.0","10","9","0","0","143","73","21","167","63","1.31","9.53","3.58","4.16","4.15","","2.5","2.6","","181.3","12768"
"John Means","BAL","29","29","165.0","11","11","0","0","159","79","31","150","38","1.19","8.19","2.07","4.32","4.60","","2.5","2.4","","220.9","16269"
"Jack Flaherty","STL","31","31","169.0","11","9","0","0","144","70","24","184","56","1.19","9.83","2.98","3.74","3.95","","2.4","2.9","","76.2","17479"
"Luis Garcia","HOU","29","29","161.0","11","9","0","0","147","74","24","172","57","1.27","9.57","3.18","4.10","4.13","","2.4","2.4","","151.6","23735"
"Trevor Bauer","LAD","21","21","128.0","9","6","0","0","106","53","19","153","43","1.16","10.74","3.01","3.70","3.83","","2.4","2.4","","269.3","12703"
"Alex Wood","SFG","29","29","158.0","10","8","0","0","149","66","19","160","47","1.24","9.08","2.66","3.77","3.81","","2.3","2.6","","222.7","13781"
"Shane McClanahan","TBR","28","28","149.0","11","8","0","0","133","62","20","166","51","1.23","10.01","3.08","3.72","3.78","","2.3","2.6","","112.3","21483"
"Zac Gallen","ARI","31","31","173.0","11","10","0","0","159","80","25","186","64","1.29","9.69","3.32","4.20","4.14","","2.3","2.6","","135.9","19291"
"Patrick Corbin","WSN","29","29","172.0","11","10","0","0","175","83","26","161","55","1.34","8.41","2.87","4.33","4.28","","2.2","2.2","","418.3","9323"
"Alek Manoah","TOR","26","26","141.0","10","7","0","0","119","60","19","160","51","1.21","10.26","3.26","3.84","4.01","","2.2","3.0","","96.5","26410"
"Luis Severino","NYY","24","42","136.0","10","7","0","1","126","58","18","142","40","1.22","9.42","2.62","3.81","3.79","","2.2","2.3","","178.1","15890"
"Ian Anderson","ATL","29","29","156.0","10","8","0","0","141","71","19","160","68","1.34","9.24","3.92","4.09","4.12","","2.2","2.4","","151.2","19951"
"Liam Hendriks","CHW","0","68","68.0","5","3","29","2","49","21","9","100","16","0.97","13.21","2.17","2.84","2.75","","2.2","2.2","","32.8","3548"
"Ranger Suárez","PHI","29","29","141.0","9","8","0","0","133","62","16","129","50","1.30","8.27","3.20","3.96","4.07","","2.2","2.3","","176.7","17277"
"Jon Gray","TEX","31","31","169.0","11","10","0","0","161","79","23","172","62","1.32","9.20","3.33","4.22","4.16","","2.2","2.3","","242.0","14916"
"Mike Minor","KCR","29","29","170.0","10","10","0","0","168","84","26","153","49","1.28","8.06","2.59","4.43","4.35","","2.1","2.4","","484.0","10021"
"Tarik Skubal","DET","29","29","154.0","10","10","0","0","142","71","25","166","51","1.26","9.70","2.99","4.19","4.24","","2.1","2.4","","196.2","22267"
"Josh Hader","MIL","0","67","67.0","5","2","26","2","40","20","8","111","27","0.99","14.91","3.60","2.64","2.73","","2.1","2.4","","33.1","14212"
"Carlos Carrasco","NYM","26","26","142.0","10","9","0","0","135","64","21","147","43","1.25","9.29","2.71","4.05","4.03","","2.0","1.6","","298.0","6632"
"Jameson Taillon","NYY","28","28","146.0","9","8","0","0","142","72","24","139","42","1.27","8.60","2.61","4.47","4.41","","2.0","1.8","","308.0","11674"
"Antonio Senzatela","COL","31","31","174.0","8","10","0","0","204","97","24","122","49","1.45","6.30","2.51","5.01","4.58","","2.0","2.0","","571.6","15488"
