playerid,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,WHIP,K/9,BB/9,ERA,FIP,WAR,RA9-WAR,ADP
10954,Jacob deGrom,NYM,26,26,153.0,12.078947368421051,6.039473684210526,17.111842105263158,0.0,0.0,107.70394736842105,43.2828947368421,15.098684210526317,221.44736842105263,34.223684210526315,0.93,13.01,2.01,2.55,2.36,5.536184210526316,4.932236842105263,24.4
13125,Gerrit Cole,NYY,32,32,199.0,14.0,8.0,21.0,0.0,0.0,157.0,73.0,27.0,263.0,52.00000000000001,1.05,11.92,2.36,3.29,3.16,5.3,5.2,7.6
19361,Corbin Burnes,MIL,29,29,175.0,12.068965517241379,8.045977011494253,18.103448275862068,0.0,0.0,140.80459770114942,63.36206896551724,20.114942528735632,222.27011494252875,52.298850574712645,1.1,11.44,2.67,3.25,3.12,4.525862068965517,4.525862068965517,11.9
19427,Shane Bieber,CLE,31,31,189.0,11.751295336787564,9.792746113989637,19.585492227979273,0.0,0.0,160.60103626943007,70.50777202072538,23.502590673575128,228.17098445595857,52.88082901554404,1.13,10.85,2.53,3.36,3.31,4.4067357512953365,4.60259067357513,31.5
3137,Max Scherzer,NYM,31,31,188.0,12.93121693121693,8.952380952380953,18.8994708994709,0.0,0.0,151.1957671957672,70.62433862433862,26.857142857142854,239.72486772486772,46.751322751322746,1.06,11.47,2.26,3.4,3.35,4.277248677248677,3.8793650793650793,19.6
10310,Zack Wheeler,PHI,32,32,207.0,13.256157635467982,10.19704433497537,20.39408866995074,0.0,0.0,189.66502463054186,83.61576354679804,26.512315270935964,212.09852216748772,52.00492610837439,1.17,9.22,2.26,3.64,3.67,4.2827586206896555,4.180788177339901,24.9
16149,Aaron Nola,PHI,32,32,191.0,11.9375,10.942708333333332,17.90625,0.0,0.0,173.09375,82.56770833333334,27.854166666666668,211.890625,54.713541666666664,1.19,9.97,2.58,3.89,3.87,3.680729166666667,3.2828124999999995,41.5
16162,Brandon Woodruff,MIL,31,31,183.0,11.743315508021391,9.786096256684491,17.614973262032084,0.0,0.0,163.42780748663102,75.35294117647058,24.46524064171123,204.52941176470588,51.86631016042781,1.18,10.06,2.55,3.71,3.67,3.5229946524064175,3.718716577540107,20.3
11486,Robbie Ray,SEA,32,32,193.0,12.125654450261779,11.115183246073299,18.18848167539267,0.0,0.0,153.5916230366492,78.81675392670157,29.303664921465966,253.6282722513089,71.7434554973822,1.17,11.79,3.34,3.68,3.74,3.637696335078534,3.7387434554973824,50.9
8700,Justin Verlander,,29,29,180.0,12.342857142857143,9.257142857142856,17.485714285714284,0.0,0.0,152.22857142857143,73.02857142857142,28.8,218.05714285714288,45.25714285714286,1.09,10.89,2.24,3.64,3.65,3.6,3.805714285714286,104.9
16137,Carlos Rodón,,28,28,150.0,9.74025974025974,7.792207792207793,13.636363636363637,0.0,0.0,124.67532467532469,60.3896103896104,19.48051948051948,184.0909090909091,47.72727272727273,1.15,11.07,2.88,3.63,3.54,3.409090909090909,3.2142857142857144,128.8
13164,Eduardo Rodriguez,DET,32,32,183.0,10.881081081081081,10.881081081081081,16.816216216216215,0.0,0.0,169.15135135135134,78.14594594594595,23.740540540540543,189.92432432432435,60.340540540540545,1.25,9.36,2.96,3.83,3.84,3.4621621621621625,3.5610810810810807,159.1
9132,Nathan Eovaldi,BOS,31,31,179.0,11.737704918032788,9.781420765027322,15.650273224043715,0.0,0.0,172.15300546448086,78.25136612021858,24.453551912568308,179.0,43.038251366120214,1.2,9.02,2.15,3.93,3.76,3.3256830601092893,3.6191256830601093,140.8
17995,Logan Webb,SFG,32,32,184.0,11.682539682539682,10.708994708994709,17.523809523809522,0.0,0.0,176.2116402116402,74.96296296296296,16.55026455026455,174.26455026455025,57.439153439153436,1.27,8.52,2.8,3.66,3.55,3.31005291005291,3.1153439153439155,65.2
17295,Framber Valdez,HOU,31,31,188.0,12.795811518324609,8.858638743455497,18.701570680628272,0.0,0.0,177.17277486910996,74.80628272251309,15.74869109947644,174.2198952879581,76.77486910994764,1.35,8.34,3.66,3.58,3.77,3.2481675392670155,3.838743455497382,146.1
2520,Lance Lynn,CHW,31,31,182.0,11.679144385026738,9.732620320855615,16.545454545454547,0.0,0.0,165.45454545454544,80.7807486631016,28.224598930481285,195.6256684491979,56.44919786096257,1.22,9.67,2.81,4.0,4.06,3.211764705882353,3.114438502673797,67.6
10603,Chris Sale,BOS,28,28,149.0,10.439490445859873,7.592356687898089,14.235668789808917,0.0,0.0,126.22292993630573,58.840764331210195,18.980891719745223,183.1656050955414,43.65605095541401,1.14,11.03,2.65,3.57,3.44,3.1318471337579616,3.701273885350318,57.6
15474,Lucas Giolito,CHW,31,31,181.0,11.804347826086957,9.83695652173913,15.739130434782608,0.0,0.0,159.3586956521739,80.66304347826086,29.51086956521739,204.6086956521739,59.02173913043478,1.21,10.2,2.93,4.01,4.08,3.2461956521739133,3.0494565217391303,45.2
4676,Charlie Morton,ATL,29,29,165.0,10.7396449704142,8.78698224852071,15.621301775147929,0.0,0.0,148.40236686390534,67.36686390532545,19.52662721893491,181.5976331360947,52.72189349112426,1.21,9.92,2.85,3.7,3.62,3.1242603550295858,3.3195266272189348,96.8
15873,Sean Manaea,OAK,31,31,175.0,10.754189944134078,9.776536312849162,16.620111731843576,0.0,0.0,160.33519553072625,71.36871508379889,23.463687150837988,175.0,43.01675977653631,1.16,8.99,2.22,3.65,3.75,3.03072625698324,3.3240223463687153,148.0
14168,José Berríos,TOR,32,32,196.0,13.0,10.0,18.0,0.0,0.0,182.0,86.0,26.999999999999996,201.0,54.99999999999999,1.22,9.25,2.55,3.96,3.95,3.0999999999999996,3.8,79.4
15689,Luis Castillo,CIN,32,32,192.0,12.0,11.0,17.0,0.0,0.0,183.0,88.0,26.0,198.0,73.0,1.33,9.26,3.4,4.12,4.1,3.1000000000000005,3.1000000000000005,91.7
14107,Kevin Gausman,TOR,32,32,187.0,12.930851063829788,9.946808510638299,16.909574468085108,0.0,0.0,171.08510638297872,81.56382978723404,27.851063829787233,203.9095744680851,52.71808510638298,1.19,9.79,2.54,3.93,3.88,3.0835106382978723,3.7797872340425527,71.0
19755,Shohei Ohtani,LAA,28,28,156.0,10.4,7.5636363636363635,15.127272727272727,0.0,0.0,134.25454545454545,64.29090909090908,20.8,181.52727272727273,53.89090909090909,1.21,10.48,3.13,3.7,3.76,2.9309090909090907,3.214545454545455,8.6
14309,Frankie Montas,OAK,31,31,177.0,10.877094972067038,9.88826815642458,16.810055865921786,0.0,0.0,158.21229050279328,73.1731843575419,22.743016759776538,186.8882681564246,54.385474860335194,1.2,9.52,2.77,3.71,3.75,3.06536312849162,3.2631284916201113,93.0
19374,Walker Buehler,LAD,32,32,196.0,12.86868686868687,9.8989898989899,17.81818181818182,0.0,0.0,187.0909090909091,90.08080808080808,29.6969696969697,200.94949494949495,56.42424242424243,1.24,9.23,2.61,4.11,4.06,3.0686868686868687,2.573737373737374,17.5
18525,Dylan Cease,CHW,31,31,163.0,10.547058823529413,9.588235294117647,13.423529411764706,0.0,0.0,138.0705882352941,72.87058823529412,24.929411764705883,195.6,65.2,1.25,10.83,3.63,4.04,4.08,2.876470588235294,2.6847058823529406,85.0
18684,Sandy Alcantara,MIA,32,32,200.0,12.0,11.0,19.0,0.0,0.0,189.0,86.0,24.0,191.0,61.0,1.25,8.58,2.75,3.86,3.87,3.0,2.9,43.3
