"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Jacob deGrom","NYM","26","26","152.0","12","6","17","0","0","107","43","15","220","34","0.93","13.01","2.01","2.55","2.36","","5.5","4.9","","24.4","10954"
"Gerrit Cole","NYY","32","32","199.0","14","8","21","0","0","157","73","27","263","52","1.05","11.92","2.36","3.29","3.16","","5.3","5.2","","7.6","13125"
"Corbin Burnes","MIL","29","29","174.0","12","8","18","0","0","140","63","20","221","52","1.10","11.44","2.67","3.25","3.12","","4.5","4.5","","11.9","19361"
"Shane Bieber","CLE","31","31","193.0","12","10","20","0","0","164","72","24","233","54","1.13","10.85","2.53","3.36","3.31","","4.5","4.7","","31.5","19427"
"Max Scherzer","NYM","31","31","189.0","13","9","19","0","0","152","71","27","241","47","1.06","11.47","2.26","3.40","3.35","","4.3","3.9","","19.6","3137"
"Zack Wheeler","PHI","32","32","203.0","13","10","20","0","0","186","82","26","208","51","1.17","9.22","2.26","3.64","3.67","","4.2","4.1","","24.9","10310"
"Aaron Nola","PHI","32","32","192.0","12","11","18","0","0","174","83","28","213","55","1.19","9.97","2.58","3.89","3.87","","3.7","3.3","","41.5","16149"
"Brandon Woodruff","MIL","31","31","187.0","12","10","18","0","0","167","77","25","209","53","1.18","10.06","2.55","3.71","3.67","","3.6","3.8","","20.3","16162"
"Robbie Ray","SEA","32","32","191.0","12","11","18","0","0","152","78","29","251","71","1.17","11.79","3.34","3.68","3.74","","3.6","3.7","","50.9","11486"
"Justin Verlander","","29","29","175.0","12","9","17","0","0","148","71","28","212","44","1.09","10.89","2.24","3.64","3.65","","3.5","3.7","","104.9","8700"
"Carlos Rodón","","28","28","154.0","10","8","14","0","0","128","62","20","189","49","1.15","11.07","2.88","3.63","3.54","","3.5","3.3","","128.8","16137"
"Eduardo Rodriguez","DET","32","32","185.0","11","11","17","0","0","171","79","24","192","61","1.25","9.36","2.96","3.83","3.84","","3.5","3.6","","159.1","13164"
"Nathan Eovaldi","BOS","31","31","183.0","12","10","16","0","0","176","80","25","183","44","1.20","9.02","2.15","3.93","3.76","","3.4","3.7","","140.8","9132"
