"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Gerrit Cole","NYY","30","30","182.0","16","7","0","0","138","57","21","248","47","1.02","12.26","2.32","2.82","2.77","","5.8","6.0","","7.6","13125"
"Zack Wheeler","PHI","30","30","192.3","14","7","0","0","168","69","17","201","46","1.11","9.41","2.15","3.23","3.06","","5.5","5.1","","24.9","10310"
"Corbin Burnes","MIL","26","27","156.0","11","5","0","0","116","48","13","204","48","1.05","11.77","2.77","2.77","2.70","","4.9","5.2","","11.9","19361"
"Jacob deGrom","NYM","22","22","130.0","9","3","0","0","87","33","12","183","29","0.89","12.67","2.01","2.28","2.29","","4.8","4.9","","24.4","10954"
"Lucas Giolito","CHW","30","30","174.3","13","8","0","0","135","65","23","217","55","1.09","11.20","2.84","3.36","3.41","","4.5","4.4","","45.2","15474"
"Aaron Nola","PHI","32","32","184.7","12","7","0","0","154","71","24","217","51","1.11","10.58","2.49","3.46","3.47","","4.5","4.4","","41.5","16149"
"Walker Buehler","LAD","32","32","189.3","12","6","0","0","153","68","23","205","46","1.05","9.74","2.19","3.23","3.41","","4.5","4.7","","17.5","19374"
"Brandon Woodruff","MIL","27","28","157.7","11","6","0","0","126","54","16","187","40","1.05","10.67","2.28","3.08","3.01","","4.3","4.5","","20.3","16162"
"Max Scherzer","NYM","28","28","169.3","12","7","0","0","128","58","24","231","43","1.01","12.28","2.29","3.08","3.19","","4.2","4.3","","19.6","3137"
"Luis Castillo","CIN","31","31","180.3","15","8","0","0","158","71","18","195","66","1.24","9.73","3.29","3.54","3.54","","4.0","4.4","","91.7","15689"
"Sandy Alcantara","MIA","32","32","194.3","13","9","0","0","167","74","18","194","58","1.16","8.98","2.69","3.43","3.41","","4.0","4.2","","43.3","18684"
"Shane Bieber","CLE","23","23","139.0","10","5","0","0","117","48","17","180","33","1.08","11.65","2.14","3.11","2.97","","3.9","4.1","","31.5","19427"
"Julio Urías","LAD","29","32","167.0","13","7","0","0","143","61","20","172","37","1.08","9.27","1.99","3.29","3.44","","3.8","4.0","","37.9","14765"
"Eduardo Rodriguez","DET","29","30","160.7","12","9","0","0","148","62","17","172","49","1.23","9.63","2.74","3.47","3.39","","3.8","4.0","","159.1","13164"
"Logan Webb","SFG","26","27","142.7","9","5","0","0","126","48","10","149","37","1.14","9.40","2.33","3.03","2.94","","3.7","3.9","","65.2","17995"
"Nathan Eovaldi","BOS","27","29","154.3","11","6","0","0","149","64","18","166","37","1.21","9.68","2.16","3.73","3.37","","3.6","3.6","","140.8","9132"
"Max Fried","ATL","27","27","158.3","14","7","0","0","139","57","15","153","38","1.12","8.70","2.16","3.24","3.32","","3.6","4.3","","73.9","13743"
"Germán Márquez","COL","30","30","173.3","13","8","0","0","169","80","21","176","54","1.29","9.14","2.80","4.15","3.74","","3.6","3.5","","260.3","15038"
"Charlie Morton","ATL","30","30","164.7","12","6","0","0","137","63","17","186","56","1.17","10.17","3.06","3.44","3.53","","3.4","4.0","","96.8","4676"
"Dylan Cease","CHW","32","32","162.3","12","8","0","0","136","70","20","204","76","1.31","11.31","4.21","3.88","3.81","","3.4","3.0","","85.0","18525"
"Freddy Peralta","MIL","25","35","143.0","10","6","0","0","103","57","18","198","61","1.15","12.46","3.84","3.59","3.48","","3.4","3.0","","56.7","18679"
"Kevin Gausman","TOR","29","29","164.7","11","7","0","0","145","66","22","177","40","1.12","9.67","2.19","3.61","3.58","","3.3","4.0","","71.0","14107"
"Robbie Ray","SEA","28","28","166.7","10","7","0","0","128","64","27","218","51","1.07","11.77","2.75","3.46","3.65","","3.3","3.8","","50.9","11486"
"Joe Musgrove","SDP","30","31","171.7","12","8","0","0","147","67","22","190","46","1.12","9.96","2.41","3.51","3.65","","3.3","3.5","","78.0","12970"
"Tyler Mahle","CIN","32","32","167.7","11","8","0","0","155","76","23","188","61","1.29","10.09","3.27","4.08","3.95","","3.2","3.0","","131.1","16358"
"Frankie Montas","OAK","30","30","170.3","12","9","0","0","153","67","22","186","50","1.19","9.83","2.64","3.54","3.65","","3.2","3.7","","93.0","14309"
"Noah Syndergaard","LAA","24","24","139.7","8","6","0","0","138","61","18","134","35","1.24","8.63","2.26","3.93","3.79","","3.1","2.7","","209.2","11762"
"José Berríos","TOR","31","31","185.3","13","8","0","0","167","79","26","191","48","1.16","9.28","2.33","3.84","3.90","","3.1","3.9","","79.4","14168"
"Marcus Stroman","CHC","31","31","170.0","13","9","0","0","163","68","19","148","47","1.24","7.84","2.49","3.60","3.78","","3.0","3.7","","184.3","13431"
"Trevor Rogers","MIA","28","28","141.0","10","7","0","0","119","53","15","166","49","1.19","10.60","3.13","3.38","3.37","","3.0","3.1","","96.4","22286"
"Trevor Bauer","LAD","22","22","136.0","10","6","0","0","106","51","18","164","46","1.12","10.85","3.04","3.38","3.67","","2.8","3.1","","269.3","12703"
"Jordan Montgomery","NYY","27","27","140.3","7","5","0","0","133","60","20","148","39","1.23","9.49","2.50","3.85","3.79","","2.8","2.7","","214.2","16511"
"Clayton Kershaw","","23","23","130.3","11","6","0","0","111","49","20","146","27","1.06","10.08","1.86","3.38","3.59","","2.8","3.0","","171.7","2036"
"Sean Manaea","OAK","28","28","156.3","11","8","0","0","149","64","22","157","35","1.18","9.04","2.01","3.68","3.82","","2.7","3.2","","148.0","15873"
"Justin Verlander","","23","23","146.0","12","6","0","0","112","55","27","180","29","0.97","11.10","1.79","3.39","3.81","","2.7","3.6","","104.9","8700"
"Lance McCullers Jr.","HOU","26","26","145.7","10","6","0","0","119","58","14","163","65","1.26","10.07","4.02","3.58","3.71","","2.7","3.2","","171.5","14120"
"Sonny Gray","CIN","27","27","140.3","10","7","0","0","117","59","17","153","56","1.23","9.81","3.59","3.78","3.89","","2.6","3.0","","181.3","12768"
"Antonio Senzatela","COL","28","28","153.0","8","6","0","0","168","74","17","115","41","1.37","6.76","2.41","4.35","4.07","","2.6","2.8","","571.6","15488"
"Hyun Jin Ryu","TOR","27","27","151.3","12","8","0","0","148","62","20","128","30","1.18","7.61","1.78","3.69","3.83","","2.6","3.6","","203.8","14444"
"Luis Garcia","HOU","28","30","148.0","11","8","0","0","133","64","21","161","49","1.23","9.79","2.98","3.89","3.91","","2.6","2.7","","151.6","23735"
"Nick Martínez","","21","21","126.0","8","6","0","0","114","53","13","124","43","1.25","8.86","3.07","3.79","3.61","","2.5","2.1","","496.5","12730"
"Lance Lynn","CHW","26","27","149.3","10","8","0","0","137","66","23","158","50","1.25","9.52","3.01","3.98","4.16","","2.5","2.6","","67.6","2520"
"Ian Anderson","ATL","28","28","139.7","9","5","0","0","118","58","15","149","61","1.28","9.60","3.93","3.74","3.85","","2.5","2.9","","151.2","19951"
"Yu Darvish","SDP","26","26","144.3","9","7","0","0","125","62","21","163","44","1.17","10.16","2.74","3.87","3.88","","2.4","2.3","","101.2","13074"
"Patrick Corbin","WSN","29","29","168.7","12","10","0","0","170","78","25","163","51","1.31","8.70","2.72","4.16","4.12","","2.4","2.6","","418.3","9323"
"Stephen Strasburg","WSN","20","20","115.3","9","6","0","0","99","47","14","129","38","1.19","10.07","2.97","3.67","3.66","","2.4","2.5","","291.2","10131"
"Matthew Boyd","","27","27","149.7","9","10","0","0","143","73","25","163","43","1.24","9.80","2.59","4.39","4.21","","2.4","2.0","","595.5","15440"
"Shohei Ohtani","LAA","21","21","111.7","6","4","0","0","92","45","13","132","42","1.20","10.64","3.39","3.63","3.64","","2.4","2.5","","8.6","19755"
"Anthony DeSclafani","SFG","29","29","151.3","10","8","0","0","142","68","20","140","41","1.21","8.33","2.44","4.04","3.91","","2.3","2.1","","214.8","13050"
"Zack Greinke","","28","28","161.7","10","7","0","0","156","72","24","131","34","1.18","7.29","1.89","4.01","4.17","","2.2","2.7","","312.1","1943"
"Jameson Taillon","NYY","26","26","131.7","8","6","0","0","125","62","20","128","37","1.23","8.75","2.53","4.24","4.16","","2.2","1.9","","308.0","11674"
"Mike Clevinger","SDP","19","19","112.3","8","5","0","0","93","43","14","123","37","1.16","9.85","2.96","3.45","3.64","","2.2","2.4","","187.6","12808"
"Blake Snell","SDP","25","25","122.7","8","6","0","0","97","50","16","156","55","1.24","11.45","4.04","3.67","3.72","","2.2","2.2","","115.6","13543"
"Jack Flaherty","STL","25","26","130.0","9","6","0","0","105","50","17","149","42","1.13","10.32","2.91","3.46","3.71","","2.2","2.7","","76.2","17479"
"Chris Bassitt","OAK","25","26","139.0","8","6","0","0","123","57","16","131","41","1.18","8.48","2.65","3.69","3.88","","2.2","2.7","","138.9","12304"
"Ryan Yarbrough","TBR","18","29","146.0","9","7","0","0","145","65","18","115","30","1.20","7.09","1.85","4.01","4.00","","2.2","2.0","","511.7","16502"
"Alek Manoah","TOR","23","23","119.7","9","5","0","0","96","47","14","140","44","1.17","10.53","3.31","3.53","3.86","","2.1","3.0","","96.5","26410"
"Chris Sale","BOS","18","18","91.7","7","4","0","0","80","36","11","116","25","1.15","11.39","2.45","3.53","3.28","","2.1","2.3","","57.6","10603"
"Tyler Glasnow","TBR","15","15","89.0","5","3","0","0","65","33","12","126","32","1.09","12.74","3.24","3.34","3.20","","2.1","2.2","","588.6","14374"
"Pablo López","MIA","23","23","113.0","7","6","0","0","104","46","13","113","28","1.17","9.00","2.23","3.66","3.62","","2.1","2.1","","138.7","17085"
"Jon Gray","TEX","28","28","145.0","10","9","0","0","135","67","19","154","58","1.33","9.56","3.60","4.16","4.07","","2.1","2.2","","242.0","14916"
"Luis Severino","NYY","17","18","97.0","8","5","0","1","88","39","12","105","27","1.19","9.74","2.51","3.62","3.54","","2.1","2.1","","178.1","15890"
"Carlos Rodón","","20","21","106.7","9","6","0","0","89","46","16","133","41","1.22","11.22","3.46","3.88","3.95","","2.0","2.0","","128.8","16137"
"Alex Wood","SFG","24","25","125.7","8","5","0","0","116","51","15","133","35","1.20","9.53","2.51","3.65","3.70","","2.0","2.3","","222.7","13781"
